date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_ICHIMOKU,exit0_ICHIMOKU
2021-08-06,143.41748046875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.18499755859375],[131.33000373840332],[146.18499755859375],[143.41748046875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],146.18499755859375,146.18499755859375
2021-08-09,143.368408203125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.875],[131.79000282287598],[145.875],[143.368408203125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],145.875,145.875
2021-08-10,142.88754272460938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.2899932861328],[131.79000282287598],[145.2899932861328],[142.88754272460938],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],145.2899932861328,145.2899932861328
2021-08-11,143.14268493652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.0749969482422],[133.68749809265137],[146.0749969482422],[143.14268493652344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],146.0749969482422,146.0749969482422
2021-08-12,146.1162109375,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[146.0749969482422],[135.55999565124512],[146.0749969482422],[146.1162109375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],146.0749969482422,146.0749969482422
2021-08-13,146.32235717773438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[147.11499786376953],[136.42999839782715],[147.11499786376953],[146.32235717773438],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],147.11499786376953,147.11499786376953
2021-08-16,148.30467224121094,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[147.30999755859375],[136.42999839782715],[147.30999755859375],[148.30467224121094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],147.30999755859375,147.30999755859375
2021-08-17,147.39202880859375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.24500274658203],[136.9449977874756],[148.24500274658203],[147.39202880859375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.24500274658203,148.24500274658203
2021-08-18,143.63339233398438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.48999786376953],[137.71000480651855],[148.48999786376953],[143.63339233398438],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.48999786376953,148.48999786376953
2021-08-19,143.96705627441406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.48999786376953],[138.87750244140625],[148.48999786376953],[143.96705627441406],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.48999786376953,148.48999786376953
2021-08-20,145.42930603027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[140.21000289916992],[148.08999633789062],[145.42930603027344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-23,146.9209442138672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[140.92250061035156],[148.08999633789062],[146.9209442138672],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-24,146.83261108398438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[141.50250244140625],[148.08999633789062],[146.83261108398438],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-25,145.59609985351562,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[141.6924991607666],[148.08999633789062],[145.59609985351562],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-26,144.79136657714844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[141.93499946594238],[148.08999633789062],[144.79136657714844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-27,145.83168029785156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[142.53250122070312],[148.08999633789062],[145.83168029785156],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-30,150.26744079589844,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[148.08999633789062],[142.53250122070312],[148.08999633789062],[150.26744079589844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.08999633789062,148.08999633789062
2021-08-31,149.00148010253906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.99500274658203],[142.72000122070312],[148.99500274658203],[149.00148010253906],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.99500274658203,148.99500274658203
2021-09-01,149.66880798339844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.99500274658203],[142.72000122070312],[148.99500274658203],[149.66880798339844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.99500274658203,148.99500274658203
2021-09-02,150.78758239746094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[150.87999725341797],[142.72000122070312],[150.87999725341797],[150.78758239746094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],150.87999725341797,150.87999725341797
2021-09-03,151.4254608154297,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[150.90499877929688],[143.27999877929688],[150.90499877929688],[151.4254608154297],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],150.90499877929688,150.90499877929688
2021-09-07,153.77093505859375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[150.90499877929688],[143.57749938964844],[150.90499877929688],[153.77093505859375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],150.90499877929688,150.90499877929688
2021-09-08,152.22036743164062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.0449981689453],[143.7949981689453],[152.0449981689453],[152.22036743164062],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],152.0449981689453,152.0449981689453
2021-09-09,151.19972229003906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.0449981689453],[143.7949981689453],[152.0449981689453],[151.19972229003906],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],152.0449981689453,152.0449981689453
2021-09-10,146.19476318359375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.0449981689453],[143.93000030517578],[152.0449981689453],[146.19476318359375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],152.0449981689453,152.0449981689453
2021-09-13,146.76393127441406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.93499755859375],[144.18000030517578],[152.93499755859375],[146.76393127441406],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],152.93499755859375,152.93499755859375
2021-09-14,145.36056518554688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.97999572753906],[144.53249740600586],[152.97999572753906],[145.36056518554688],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],152.97999572753906,152.97999572753906
2021-09-15,146.253662109375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[152.08499908447266],[144.37749862670898],[152.08499908447266],[146.253662109375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],152.08499908447266,152.08499908447266
2021-09-16,146.01809692382812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.81499481201172],[144.5824966430664],[151.81499481201172],[146.01809692382812],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],151.81499481201172,151.81499481201172
2021-09-17,143.33895874023438,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.81499481201172],[145.55500030517578],[151.81499481201172],[143.33895874023438],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],151.81499481201172,151.81499481201172
2021-09-20,140.277099609375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.50999450683594],[145.70499801635742],[151.50999450683594],[140.277099609375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],151.50999450683594,151.50999450683594
2021-09-21,140.75794982910156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[149.15499877929688],[146.2249984741211],[149.15499877929688],[140.75794982910156],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.15499877929688,149.15499877929688
2021-09-22,143.1328582763672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.69000244140625],[146.5724983215332],[148.69000244140625],[143.1328582763672],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.69000244140625,148.69000244140625
2021-09-23,144.09461975097656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.375],[147.3375015258789],[148.375],[144.09461975097656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.375,148.375
2021-09-24,144.1829376220703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.34500122070312],[147.5824966430664],[146.34500122070312],[144.1829376220703],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],146.34500122070312,146.34500122070312
2021-09-27,142.66183471679688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.17000579833984],[147.5824966430664],[146.17000579833984],[142.66183471679688],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],146.17000579833984,146.17000579833984
2021-09-28,139.26629638671875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.3550033569336],[147.38249588012695],[145.3550033569336],[139.26629638671875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],145.3550033569336,145.3550033569336
2021-09-29,140.16917419433594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.12000274658203],[147.38249588012695],[145.12000274658203],[140.16917419433594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],145.12000274658203,145.12000274658203
2021-09-30,138.86390686035156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.04500579833984],[147.38249588012695],[145.04500579833984],[138.86390686035156],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],145.04500579833984,145.04500579833984
2021-10-01,139.9924774169922,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.37000274658203],[147.59999465942383],[144.37000274658203],[139.9924774169922],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],144.37000274658203,144.37000274658203
2021-10-04,136.5478973388672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[143.29000091552734],[147.59999465942383],[143.29000091552734],[136.5478973388672],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],143.29000091552734,143.29000091552734
2021-10-05,138.481201171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.87000274658203],[147.59999465942383],[142.87000274658203],[138.481201171875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],142.87000274658203,142.87000274658203
2021-10-06,139.3546142578125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.87000274658203],[147.59999465942383],[142.87000274658203],[139.3546142578125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],142.87000274658203,142.87000274658203
2021-10-07,140.6205596923828,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.87000274658203],[148.50500106811523],[142.87000274658203],[140.6205596923828],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],142.87000274658203,142.87000274658203
2021-10-08,140.23780822753906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.11500549316406],[148.50500106811523],[142.11500549316406],[140.23780822753906],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],142.11500549316406,142.11500549316406
2021-10-11,140.14952087402344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.51000213623047],[149.81999588012695],[141.51000213623047],[140.14952087402344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],141.51000213623047,141.51000213623047
2021-10-12,138.87371826171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.54000091552734],[150.2249984741211],[141.54000091552734],[138.87371826171875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],141.54000091552734,141.54000091552734
2021-10-13,138.284912109375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.54000091552734],[150.2249984741211],[141.54000091552734],[138.284912109375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],141.54000091552734,141.54000091552734
2021-10-14,141.08180236816406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.54000091552734],[151.46249771118164],[141.54000091552734],[141.08180236816406],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],141.54000091552734,141.54000091552734
2021-10-15,142.14170837402344,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[141.54000091552734],[151.46249771118164],[141.54000091552734],[142.14170837402344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],141.54000091552734,141.54000091552734
2021-10-18,143.81980895996094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[141.63499450683594],[151.46249771118164],[141.63499450683594],[143.81980895996094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],141.63499450683594,141.63499450683594
2021-10-19,145.98866271972656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[142.60499572753906],[151.90749740600586],[142.60499572753906],[145.98866271972656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],142.60499572753906,142.60499572753906
2021-10-20,146.47930908203125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.18499755859375],[151.92999649047852],[144.18499755859375],[146.47930908203125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],144.18499755859375,144.18499755859375
2021-10-21,146.6952667236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.4749984741211],[151.4824981689453],[144.4749984741211],[146.6952667236328],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],144.4749984741211,144.4749984741211
2021-10-22,145.91995239257812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.4749984741211],[151.34749603271484],[144.4749984741211],[145.91995239257812],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],144.4749984741211,144.4749984741211
2021-10-25,145.8708953857422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.68999481201172],[151.34749603271484],[144.68999481201172],[145.8708953857422],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],144.68999481201172,144.68999481201172
2021-10-26,146.53823852539062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[144.68999481201172],[151.19499588012695],[144.68999481201172],[146.53823852539062],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],144.68999481201172,144.68999481201172
2021-10-27,146.07699584960938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.17499542236328],[149.20999908447266],[146.17499542236328],[146.07699584960938],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],146.17499542236328,146.17499542236328
2021-10-28,149.72769165039062,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[147.0],[148.97750091552734],[147.0],[149.72769165039062],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],147.0,147.0
2021-10-29,147.00930786132812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.16500091552734],[148.81999969482422],[148.16500091552734],[147.00930786132812],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],148.16500091552734,148.16500091552734
2021-11-01,146.1849365234375,0,[True],[False],BUY. Shares: 22,Entry conditions met: True,{},"{'order_size': 22, 'order_price': None, 'order_valid': None, 'order_status': 1}",[149.79000091552734],[147.80500030517578],[149.79000091552734],[146.1849365234375],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-02,147.22518920898438,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[147.71750259399414],[149.79000091552734],[147.22518920898438],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-03,148.66778564453125,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[147.31000137329102],[149.79000091552734],[148.66778564453125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-04,148.14768981933594,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[147.19250106811523],[149.79000091552734],[148.14768981933594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-05,148.67837524414062,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[147.15500259399414],[149.79000091552734],[148.67837524414062],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-08,147.8528594970703,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[146.81750106811523],[149.79000091552734],[147.8528594970703],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-09,148.2164764404297,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[145.73749923706055],[149.79000091552734],[148.2164764404297],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-10,145.3761749267578,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.79000091552734],[145.31750106811523],[149.79000091552734],[145.3761749267578],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.79000091552734,149.79000091552734
2021-11-11,145.3270263671875,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.4199981689453],[145.31750106811523],[149.4199981689453],[145.3270263671875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.4199981689453,149.4199981689453
2021-11-12,147.4105682373047,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[150.05499267578125],[145.31750106811523],[150.05499267578125],[147.4105682373047],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],150.05499267578125,150.05499267578125
2021-11-15,147.42039489746094,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.95499420166016],[144.94000244140625],[149.95499420166016],[147.42039489746094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.95499420166016,149.95499420166016
2021-11-16,148.4031982421875,22,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[149.95499420166016],[144.63750076293945],[149.95499420166016],[148.4031982421875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.95499420166016,149.95499420166016
2021-11-17,150.8503875732422,22,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -22, 'order_price': None, 'order_valid': None, 'order_status': 1}",[149.95499420166016],[144.6525001525879],[149.95499420166016],[150.8503875732422],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],149.95499420166016,149.95499420166016
2021-11-18,155.15504455566406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[151.23999786376953],[144.6525001525879],[151.23999786376953],[155.15504455566406],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],151.23999786376953,151.23999786376953
2021-11-19,157.7890167236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[153.0749969482422],[144.5974998474121],[153.0749969482422],[157.7890167236328],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],153.0749969482422,153.0749969482422
2021-11-22,158.2509002685547,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[154.25],[144.3650016784668],[154.25],[158.2509002685547],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],154.25,154.25
2021-11-23,158.6342010498047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[156.58999633789062],[144.25499725341797],[156.58999633789062],[158.6342010498047],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],156.58999633789062,156.58999633789062
2021-11-24,159.1550750732422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[156.58999633789062],[143.7249984741211],[156.58999633789062],[159.1550750732422],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],156.58999633789062,156.58999633789062
2021-11-26,154.11326599121094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[156.58999633789062],[144.4275016784668],[156.58999633789062],[154.11326599121094],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],156.58999633789062,156.58999633789062
2021-11-29,157.4843292236328,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[157.5199966430664],[144.24250030517578],[157.5199966430664],[157.4843292236328],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],157.5199966430664,157.5199966430664
2021-11-30,162.457275390625,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[157.5199966430664],[144.24250030517578],[157.5199966430664],[162.457275390625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],157.5199966430664,157.5199966430664
2021-12-01,161.93637084960938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[158.34500122070312],[144.4574966430664],[158.34500122070312],[161.93637084960938],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],158.34500122070312,158.34500122070312
2021-12-02,160.94374084472656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[161.6750030517578],[144.4574966430664],[161.6750030517578],[160.94374084472656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],161.6750030517578,161.6750030517578
2021-12-03,159.0567626953125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.3300018310547],[145.36499786376953],[163.3300018310547],[159.0567626953125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],163.3300018310547,163.3300018310547
2021-12-06,162.47695922851562,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.3300018310547],[145.7775001525879],[163.3300018310547],[162.47695922851562],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],163.3300018310547,163.3300018310547
2021-12-07,168.2361602783203,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[163.3300018310547],[146.94250106811523],[163.3300018310547],[168.2361602783203],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],163.3300018310547,163.3300018310547
2021-12-08,172.06906127929688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.97000122070312],[147.75500106811523],[163.97000122070312],[172.06906127929688],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],163.97000122070312,163.97000122070312
2021-12-09,171.5580596923828,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[166.16000366210938],[147.75500106811523],[166.16000366210938],[171.5580596923828],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],166.16000366210938,166.16000366210938
2021-12-10,176.36395263671875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[167.2750015258789],[147.75500106811523],[167.2750015258789],[176.36395263671875],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],167.2750015258789,167.2750015258789
2021-12-13,172.71774291992188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[168.71500396728516],[147.75500106811523],[168.71500396728516],[172.71774291992188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],168.71500396728516,168.71500396728516
2021-12-14,171.33200073242188,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[169.96500396728516],[147.75500106811523],[169.96500396728516],[171.33200073242188],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],169.96500396728516,169.96500396728516
2021-12-15,176.21653747558594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[169.96500396728516],[147.75500106811523],[169.96500396728516],[176.21653747558594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],169.96500396728516,169.96500396728516
2021-12-16,169.29759216308594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[170.9250030517578],[147.75500106811523],[170.9250030517578],[169.29759216308594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],170.9250030517578,170.9250030517578
2021-12-17,168.1968536376953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[173.2050018310547],[147.77999877929688],[173.2050018310547],[168.1968536376953],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],173.2050018310547,173.2050018310547
2021-12-20,166.83078002929688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[175.23500061035156],[147.59499740600586],[175.23500061035156],[166.83078002929688],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],175.23500061035156,175.23500061035156
2021-12-21,170.01502990722656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.79500579833984],[148.1199951171875],[174.79500579833984],[170.01502990722656],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.79500579833984,174.79500579833984
2021-12-22,172.61949157714844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.79500579833984],[148.06999588012695],[174.79500579833984],[172.61949157714844],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.79500579833984,174.79500579833984
2021-12-23,173.2484588623047,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.79500579833984],[148.06999588012695],[174.79500579833984],[173.2484588623047],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.79500579833984,174.79500579833984
2021-12-27,177.2288055419922,0,[False],[True],NO_TRADE,Entry conditions not met: False,{},{},[174.79500579833984],[148.06999588012695],[174.79500579833984],[177.2288055419922],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.79500579833984,174.79500579833984
2021-12-28,176.20664978027344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.3000030517578],[149.1699981689453],[174.3000030517578],[176.20664978027344],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.3000030517578,174.3000030517578
2021-12-29,176.29515075683594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.39500427246094],[151.5824966430664],[174.39500427246094],[176.29515075683594],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.39500427246094,174.39500427246094
2021-12-30,175.1354522705078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.39500427246094],[153.17000198364258],[174.39500427246094],[175.1354522705078],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.39500427246094,174.39500427246094
2021-12-31,174.5162811279297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.39500427246094],[155.5099983215332],[174.39500427246094],[174.5162811279297],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.39500427246094,174.39500427246094
2022-01-03,178.8798828125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[174.39500427246094],[156.3224983215332],[174.39500427246094],[178.8798828125],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],174.39500427246094,174.39500427246094
2022-01-04,176.609619140625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[176.0],[156.3224983215332],[176.0],[176.609619140625],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],176.0,176.0
2022-01-05,171.9118194580078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[177.5449981689453],[156.7874984741211],[177.5449981689453],[171.9118194580078],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],177.5449981689453,177.5449981689453
2022-01-06,169.0420684814453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[178.79000091552734],[156.7874984741211],[178.79000091552734],[169.0420684814453],['ICHIMOKU cross_above None'],['ICHIMOKU cross_below None'],178.79000091552734,178.79000091552734
