date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_EMA,exit0_EMA
2022-08-31,155.1556396484375,18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.3403702207842],[160.81743464354767],[163.3403702207842],[160.81743464354767],['EMA cross_above None'],['EMA cross_below None'],163.3403702207842,163.3403702207842
2022-09-01,155.88592529296875,18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[161.85223738944842],[160.45215754708894],[161.85223738944842],[160.45215754708894],['EMA cross_above None'],['EMA cross_below None'],161.85223738944842,161.85223738944842
2022-09-02,153.76416015625,18,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[160.76745337190664],[160.15756191779087],[160.76745337190664],[160.15756191779087],['EMA cross_above None'],['EMA cross_below None'],160.76745337190664,160.76745337190664
2022-09-06,152.50096130371094,18,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -18, 'order_price': None, 'order_valid': None, 'order_status': 1}",[159.49412733269634],[159.74508438478824],[159.49412733269634],[159.74508438478824],['EMA cross_above None'],['EMA cross_below None'],159.49412733269634,159.49412733269634
2022-09-07,153.9121856689453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[158.22264260015353],[159.27772160536392],[158.22264260015353],[159.27772160536392],['EMA cross_above None'],['EMA cross_below None'],158.22264260015353,158.22264260015353
2022-09-08,152.43190002441406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[157.43892315811567],[158.93155799656273],[157.43892315811567],[158.93155799656273],['EMA cross_above None'],['EMA cross_below None'],157.43892315811567,157.43892315811567
2022-09-09,155.30364990234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[156.52855531562446],[158.51222522416606],[156.52855531562446],[158.51222522416606],['EMA cross_above None'],['EMA cross_below None'],156.52855531562446,156.52855531562446
2022-09-12,161.2841033935547,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[156.3058452404825],[158.30522036469367],[156.3058452404825],[158.30522036469367],['EMA cross_above None'],['EMA cross_below None'],156.3058452404825,156.3058452404825
2022-09-13,151.82000732421875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[157.21098308649562],[158.49740636655568],[157.21098308649562],[158.49740636655568],['EMA cross_above None'],['EMA cross_below None'],157.21098308649562,157.21098308649562
2022-09-14,153.27069091796875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[156.23080567517255],[158.0666064283404],[156.23080567517255],[158.0666064283404],['EMA cross_above None'],['EMA cross_below None'],156.23080567517255,156.23080567517255
