date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_STOCH,exit0_STOCH
2022-12-15,134.93118286132812,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[23.448211451762123],[nan],[23.448211451762123],[134.93118286132812],['STOCH cross_above None'],['STOCH cross_below None'],23.448211451762123,23.448211451762123
2022-12-16,132.9640350341797,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[13.016126922953147],[nan],[13.016126922953147],[132.9640350341797],['STOCH cross_above None'],['STOCH cross_below None'],13.016126922953147,13.016126922953147
2022-12-19,130.8486328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[0.8290125512205743],[nan],[0.8290125512205743],[130.8486328125],['STOCH cross_above None'],['STOCH cross_below None'],0.8290125512205743,0.8290125512205743
2022-12-20,130.7794189453125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-4.746793148672669],[nan],[-4.746793148672669],[130.7794189453125],['STOCH cross_above None'],['STOCH cross_below None'],-4.746793148672669,-4.746793148672669
2022-12-21,133.89321899414062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-0.8771777746560355],[nan],[-0.8771777746560355],[133.89321899414062],['STOCH cross_above None'],['STOCH cross_below None'],-0.8771777746560355,-0.8771777746560355
2022-12-22,130.71023559570312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[6.953358054539585],[nan],[6.953358054539585],[130.71023559570312],['STOCH cross_above None'],['STOCH cross_below None'],6.953358054539585,6.953358054539585
2022-12-23,130.344482421875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[9.055120776381937],[nan],[9.055120776381937],[130.344482421875],['STOCH cross_above None'],['STOCH cross_below None'],9.055120776381937,9.055120776381937
2022-12-27,128.53553771972656,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[8.800437039428088],[nan],[8.800437039428088],[128.53553771972656],['STOCH cross_above None'],['STOCH cross_below None'],8.800437039428088,8.800437039428088
2022-12-28,124.59138488769531,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[2.1658299732305566],[nan],[2.1658299732305566],[124.59138488769531],['STOCH cross_above None'],['STOCH cross_below None'],2.1658299732305566,2.1658299732305566
2022-12-29,128.120361328125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-0.9027645846474023],[nan],[-0.9027645846474023],[128.120361328125],['STOCH cross_above None'],['STOCH cross_below None'],-0.9027645846474023,-0.9027645846474023
2022-12-30,128.43666076660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[1.0546853008101496],[nan],[1.0546853008101496],[128.43666076660156],['STOCH cross_above None'],['STOCH cross_below None'],1.0546853008101496,1.0546853008101496
2023-01-03,123.63253021240234,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[4.894051129609492],[nan],[4.894051129609492],[123.63253021240234],['STOCH cross_above None'],['STOCH cross_below None'],4.894051129609492,4.894051129609492
2023-01-04,124.90770721435547,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[5.968137710467496],[nan],[5.968137710467496],[124.90770721435547],['STOCH cross_above None'],['STOCH cross_below None'],5.968137710467496,5.968137710467496
2023-01-05,123.58309173583984,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[3.948996327738207],[nan],[3.948996327738207],[123.58309173583984],['STOCH cross_above None'],['STOCH cross_below None'],3.948996327738207,3.948996327738207
2023-01-06,128.13023376464844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[-0.7106884073007945],[nan],[-0.7106884073007945],[128.13023376464844],['STOCH cross_above None'],['STOCH cross_below None'],-0.7106884073007945,-0.7106884073007945
2023-01-09,128.65414428710938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[9.776585106359997],[nan],[9.776585106359997],[128.65414428710938],['STOCH cross_above None'],['STOCH cross_below None'],9.776585106359997,9.776585106359997
2023-01-10,129.2274627685547,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[20.50847755208379],[nan],[20.50847755208379],[129.2274627685547],['STOCH cross_above None'],['STOCH cross_below None'],20.50847755208379,20.50847755208379
2023-01-11,131.95574951171875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[34.955347287751884],[nan],[34.955347287751884],[131.95574951171875],['STOCH cross_above None'],['STOCH cross_below None'],34.955347287751884,34.955347287751884
2023-01-12,131.8766632080078,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[45.69452240832956],[nan],[45.69452240832956],[131.8766632080078],['STOCH cross_above None'],['STOCH cross_below None'],45.69452240832956,45.69452240832956
2023-01-13,133.21112060546875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[58.593866602556574],[nan],[58.593866602556574],[133.21112060546875],['STOCH cross_above None'],['STOCH cross_below None'],58.593866602556574,58.593866602556574
2023-01-17,134.37759399414062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.2911584597304],[nan],[73.2911584597304],[134.37759399414062],['STOCH cross_above None'],['STOCH cross_below None'],73.2911584597304,73.2911584597304
2023-01-18,133.65599060058594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[78.69305492241597],[nan],[78.69305492241597],[133.65599060058594],['STOCH cross_above None'],['STOCH cross_below None'],78.69305492241597,78.69305492241597
2023-01-19,133.71533203125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.86591606182468],[nan],[75.86591606182468],[133.71533203125],['STOCH cross_above None'],['STOCH cross_below None'],75.86591606182468,75.86591606182468
2023-01-20,136.28538513183594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[69.86589752749063],[nan],[69.86589752749063],[136.28538513183594],['STOCH cross_above None'],['STOCH cross_below None'],69.86589752749063,69.86589752749063
2023-01-23,139.48818969726562,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[71.89914125296757],[nan],[71.89914125296757],[139.48818969726562],['STOCH cross_above None'],['STOCH cross_below None'],71.89914125296757,71.89914125296757
2023-01-24,140.89186096191406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.66516151471419],[nan],[76.66516151471419],[140.89186096191406],['STOCH cross_above None'],['STOCH cross_below None'],76.66516151471419,76.66516151471419
2023-01-25,140.22955322265625,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[83.60313137885232],[nan],[83.60313137885232],[140.22955322265625],['STOCH cross_above None'],['STOCH cross_below None'],83.60313137885232,83.60313137885232
2023-01-26,142.305419921875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[83.41889588226395],[nan],[83.41889588226395],[142.305419921875],['STOCH cross_above None'],['STOCH cross_below None'],83.41889588226395,83.41889588226395
2023-01-27,144.25277709960938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[86.74061711215995],[nan],[86.74061711215995],[144.25277709960938],['STOCH cross_above None'],['STOCH cross_below None'],86.74061711215995,86.74061711215995
2023-01-30,141.35646057128906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[85.908385992157],[nan],[85.908385992157],[141.35646057128906],['STOCH cross_above None'],['STOCH cross_below None'],85.908385992157,85.908385992157
2023-01-31,142.6316375732422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[81.21363557885167],[nan],[81.21363557885167],[142.6316375732422],['STOCH cross_above None'],['STOCH cross_below None'],81.21363557885167,81.21363557885167
2023-02-01,143.75852966308594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[75.42168766967715],[nan],[75.42168766967715],[143.75852966308594],['STOCH cross_above None'],['STOCH cross_below None'],75.42168766967715,75.42168766967715
2023-02-02,149.08657836914062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[73.28640320161998],[nan],[73.28640320161998],[149.08657836914062],['STOCH cross_above None'],['STOCH cross_below None'],73.28640320161998,73.28640320161998
2023-02-03,152.7242889404297,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.95671506023561],[nan],[79.95671506023561],[152.7242889404297],['STOCH cross_above None'],['STOCH cross_below None'],79.95671506023561,79.95671506023561
2023-02-06,149.98611450195312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[82.52368445919248],[nan],[82.52368445919248],[149.98611450195312],['STOCH cross_above None'],['STOCH cross_below None'],82.52368445919248,82.52368445919248
2023-02-07,152.87257385253906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[79.41316942299954],[nan],[79.41316942299954],[152.87257385253906],['STOCH cross_above None'],['STOCH cross_below None'],79.41316942299954,79.41316942299954
2023-02-08,150.17393493652344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[76.6242595997557],[nan],[76.6242595997557],[150.17393493652344],['STOCH cross_above None'],['STOCH cross_below None'],76.6242595997557,76.6242595997557
2023-02-09,149.13597106933594,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[72.82591528927661],[nan],[72.82591528927661],[149.13597106933594],['STOCH cross_above None'],['STOCH cross_below None'],72.82591528927661,72.82591528927661
