date,close,position_size,entry_signals,exit_signals,trade_action,trade_reason,risk_info,order_details,entry_conditions_main,entry_conditions_ref,exit_conditions_main,exit_conditions_ref,entry_conditions,exit_conditions,entry0_DEMA,exit0_DEMA
2023-02-08,150.17393493652344,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.71498550890593],[147.57014243462004],[151.71498550890593],[147.57014243462004],['DEMA cross_above None'],['DEMA cross_below None'],151.71498550890593,151.71498550890593
2023-02-09,149.13597106933594,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.9868821964464],[148.50478512205837],[151.9868821964464],[148.50478512205837],['DEMA cross_above None'],['DEMA cross_below None'],151.9868821964464,151.9868821964464
2023-02-10,149.50230407714844,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.76583498953391],[149.09672503146453],[151.76583498953391],[149.09672503146453],['DEMA cross_above None'],['DEMA cross_below None'],151.76583498953391,151.76583498953391
2023-02-13,152.31394958496094,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[151.652025409962],[149.6480944919455],[151.652025409962],[149.6480944919455],['DEMA cross_above None'],['DEMA cross_below None'],151.652025409962,151.652025409962
2023-02-14,151.67044067382812,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.43424325323406],[150.608168991264],[152.43424325323406],[150.608168991264],['DEMA cross_above None'],['DEMA cross_below None'],152.43424325323406,152.43424325323406
2023-02-15,153.7791748046875,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.7411698167599],[151.29281593851593],[152.7411698167599],[151.29281593851593],['DEMA cross_above None'],['DEMA cross_below None'],152.7411698167599,152.7411698167599
2023-02-16,152.1753387451172,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[153.608339240795],[152.23922586452036],[153.608339240795],[152.23922586452036],['DEMA cross_above None'],['DEMA cross_below None'],153.608339240795,153.608339240795
2023-02-17,151.0269317626953,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[153.66429480459337],[152.7369739241182],[153.66429480459337],[152.7369739241182],['DEMA cross_above None'],['DEMA cross_below None'],153.66429480459337,153.66429480459337
2023-02-21,146.99757385253906,35,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[153.27289230155938],[152.93100555723623],[153.27289230155938],[152.93100555723623],['DEMA cross_above None'],['DEMA cross_below None'],153.27289230155938,153.27289230155938
2023-02-22,147.42327880859375,35,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -35, 'order_price': None, 'order_valid': None, 'order_status': 1}",[151.60461328248945],[152.34161891679398],[151.60461328248945],[152.34161891679398],['DEMA cross_above None'],['DEMA cross_below None'],151.60461328248945,151.60461328248945
2023-02-23,147.90838623046875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[150.47626154676817],[151.88790381254842],[150.47626154676817],[151.88790381254842],['DEMA cross_above None'],['DEMA cross_below None'],150.47626154676817,150.47626154676817
2023-02-24,145.24525451660156,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[149.780359689982],[151.56400118466073],[149.780359689982],[151.56400118466073],['DEMA cross_above None'],['DEMA cross_below None'],149.780359689982,149.780359689982
2023-02-27,146.4431610107422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.37225049335046],[150.78259110394958],[148.37225049335046],[150.78259110394958],['DEMA cross_above None'],['DEMA cross_below None'],148.37225049335046,148.37225049335046
2023-02-28,145.93826293945312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[147.7222623192304],[150.310015444188],[147.7222623192304],[150.310015444188],['DEMA cross_above None'],['DEMA cross_below None'],147.7222623192304,147.7222623192304
2023-03-01,143.8592071533203,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[147.07795347469124],[149.79650279881196],[147.07795347469124],[149.79650279881196],['DEMA cross_above None'],['DEMA cross_below None'],147.07795347469124,147.07795347469124
2023-03-02,144.45323181152344,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.92167240036116],[148.96399602486903],[145.92167240036116],[148.96399602486903],['DEMA cross_above None'],['DEMA cross_below None'],145.92167240036116,145.92167240036116
2023-03-03,149.52212524414062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[145.27582412200766],[148.34396852322885],[145.27582412200766],[148.34396852322885],['DEMA cross_above None'],['DEMA cross_below None'],145.27582412200766,145.27582412200766
2023-03-06,152.29415893554688,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[146.4919535229673],[148.72065469028203],[146.4919535229673],[148.72065469028203],['DEMA cross_above None'],['DEMA cross_below None'],146.4919535229673,146.4919535229673
2023-03-07,150.08644104003906,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.3226024156836],[149.5391405946678],[148.3226024156836],[149.5391405946678],['DEMA cross_above None'],['DEMA cross_below None'],148.3226024156836,148.3226024156836
2023-03-08,151.34373474121094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.94954514766016],[149.8336441166772],[148.94954514766016],[149.8336441166772],['DEMA cross_above None'],['DEMA cross_below None'],148.94954514766016,148.94954514766016
2023-03-09,149.0865020751953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[149.82245170060636],[150.30509639611617],[149.82245170060636],[150.30509639611617],['DEMA cross_above None'],['DEMA cross_below None'],149.82245170060636,149.82245170060636
2023-03-10,147.0173797607422,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[149.71089183540334],[150.2909698949293],[149.71089183540334],[150.2909698949293],['DEMA cross_above None'],['DEMA cross_below None'],149.71089183540334,149.71089183540334
2023-03-13,148.96771240234375,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.9315629039951],[149.89313015941084],[148.9315629039951],[149.89313015941084],['DEMA cross_above None'],['DEMA cross_below None'],148.9315629039951,148.9315629039951
2023-03-14,151.06655883789062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[148.9913226531437],[149.89517883335935],[148.9913226531437],[149.89517883335935],['DEMA cross_above None'],['DEMA cross_below None'],148.9913226531437,148.9913226531437
2023-03-15,151.46255493164062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[149.72438014157103],[150.2691865894027],[149.72438014157103],[150.2691865894027],['DEMA cross_above None'],['DEMA cross_below None'],149.72438014157103,149.72438014157103
2023-03-16,154.2939910888672,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[150.39038191923956],[150.65441556088933],[150.39038191923956],[150.65441556088933],['DEMA cross_above None'],['DEMA cross_below None'],150.39038191923956,150.39038191923956
2023-03-17,153.45248413085938,0,[True],[False],BUY. Shares: 34,Entry conditions met: True,{},"{'order_size': 34, 'order_price': None, 'order_valid': None, 'order_status': 1}",[151.80767350874223],[151.49073100027212],[151.80767350874223],[151.49073100027212],['DEMA cross_above None'],['DEMA cross_below None'],151.80767350874223,151.80767350874223
2023-03-20,155.82847595214844,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[152.56044715130344],[152.04810596020621],[152.56044715130344],[152.04810596020621],['DEMA cross_above None'],['DEMA cross_below None'],152.56044715130344,152.56044715130344
2023-03-21,157.6897430419922,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[153.8793106704542],[152.94812686479113],[153.8793106704542],[152.94812686479113],['DEMA cross_above None'],['DEMA cross_below None'],153.8793106704542,153.8793106704542
2023-03-22,156.25424194335938,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[155.44191637104706],[154.04864910989787],[155.44191637104706],[154.04864910989787],['DEMA cross_above None'],['DEMA cross_below None'],155.44191637104706,155.44191637104706
2023-03-23,157.34323120117188,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[156.08772070564618],[154.7221475641411],[156.08772070564618],[154.7221475641411],['DEMA cross_above None'],['DEMA cross_below None'],156.08772070564618,156.08772070564618
2023-03-24,158.6500701904297,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[156.88553728718236],[155.48491504741477],[156.88553728718236],[155.48491504741477],['DEMA cross_above None'],['DEMA cross_below None'],156.88553728718236,156.88553728718236
2023-03-27,156.69972229003906,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[157.8667561163617],[156.36323578486932],[157.8667561163617],[156.36323578486932],['DEMA cross_above None'],['DEMA cross_below None'],157.8667561163617,157.8667561163617
2023-03-28,156.07598876953125,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[157.90475665722266],[156.74916161664274],[157.90475665722266],[156.74916161664274],['DEMA cross_above None'],['DEMA cross_below None'],157.90475665722266,157.90475665722266
2023-03-29,159.1648712158203,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[157.68416628962507],[156.95148086000594],[157.68416628962507],[156.95148086000594],['DEMA cross_above None'],['DEMA cross_below None'],157.68416628962507,157.68416628962507
2023-03-30,160.73899841308594,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[158.50445362843314],[157.66949871532418],[158.50445362843314],[157.66949871532418],['DEMA cross_above None'],['DEMA cross_below None'],158.50445362843314,158.50445362843314
2023-03-31,163.2536163330078,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[159.59577621259538],[158.55638332202057],[159.59577621259538],[158.55638332202057],['DEMA cross_above None'],['DEMA cross_below None'],159.59577621259538,159.59577621259538
2023-04-03,164.51095581054688,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[161.19540212099187],[159.75834531062696],[161.19540212099187],[159.75834531062696],['DEMA cross_above None'],['DEMA cross_below None'],161.19540212099187,161.19540212099187
2023-04-04,163.97634887695312,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[162.74991562950214],[161.00205624073934],[162.74991562950214],[161.00205624073934],['DEMA cross_above None'],['DEMA cross_below None'],162.74991562950214,162.74991562950214
2023-04-05,162.125,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.6720270143762],[161.95499657942932],[163.6720270143762],[161.95499657942932],['DEMA cross_above None'],['DEMA cross_below None'],163.6720270143762,163.6720270143762
2023-04-06,163.01602172851562,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.68735225856614],[162.41755658237932],[163.68735225856614],[162.41755658237932],['DEMA cross_above None'],['DEMA cross_below None'],163.68735225856614,163.68735225856614
2023-04-10,160.41229248046875,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.94051593530781],[162.95518849398178],[163.94051593530781],[162.95518849398178],['DEMA cross_above None'],['DEMA cross_below None'],163.94051593530781,163.94051593530781
2023-04-11,159.19456481933594,34,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[163.2186904069362],[162.92351074609718],[163.2186904069362],[162.92351074609718],['DEMA cross_above None'],['DEMA cross_below None'],163.2186904069362,163.2186904069362
2023-04-12,158.50155639648438,34,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -34, 'order_price': None, 'order_valid': None, 'order_status': 1}",[162.24015680404955],[162.6538990614271],[162.24015680404955],[162.6538990614271],['DEMA cross_above None'],['DEMA cross_below None'],162.24015680404955,162.24015680404955
2023-04-13,163.90701293945312,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[161.25533096366334],[162.27610353090014],[161.25533096366334],[162.27610353090014],['DEMA cross_above None'],['DEMA cross_below None'],161.25533096366334,161.25533096366334
2023-04-14,163.560546875,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[162.29196129737198],[162.9131877675886],[162.29196129737198],[162.9131877675886],['DEMA cross_above None'],['DEMA cross_below None'],162.29196129737198,162.29196129737198
2023-04-17,163.58033752441406,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[162.9247598182034],[163.38086446821387],[162.9247598182034],[163.38086446821387],['DEMA cross_above None'],['DEMA cross_below None'],162.9247598182034,162.9247598182034
2023-04-18,164.80795288085938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.37592886275792],[163.7689217709485],[163.37592886275792],[163.7689217709485],['DEMA cross_above None'],['DEMA cross_below None'],163.37592886275792,163.37592886275792
2023-04-19,165.95639038085938,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.09053168518233],[164.30756933969386],[164.09053168518233],[164.30756933969386],['DEMA cross_above None'],['DEMA cross_below None'],164.09053168518233,164.09053168518233
2023-04-20,164.9861602783203,0,[True],[False],BUY. Shares: 32,Entry conditions met: True,{},"{'order_size': 32, 'order_price': None, 'order_valid': None, 'order_status': 1}",[164.97226733310868],[164.9613750233259],[164.97226733310868],[164.9613750233259],['DEMA cross_above None'],['DEMA cross_below None'],164.97226733310868,164.97226733310868
2023-04-21,163.3724365234375,32,[False],[True],SELL,Exit conditions met: True,{},"{'order_size': -32, 'order_price': None, 'order_valid': None, 'order_status': 1}",[165.2743158915506],[165.3295961231404],[165.2743158915506],[165.3295961231404],['DEMA cross_above None'],['DEMA cross_below None'],165.2743158915506,165.2743158915506
2023-04-24,163.67935180664062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.9335254831668],[165.33516567702497],[164.9335254831668],[165.33516567702497],['DEMA cross_above None'],['DEMA cross_below None'],164.9335254831668,164.9335254831668
2023-04-25,162.13491821289062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.75524641217604],[165.37759859084412],[164.75524641217604],[165.37759859084412],['DEMA cross_above None'],['DEMA cross_below None'],164.75524641217604,164.75524641217604
2023-04-26,162.125,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.08977924752816],[165.11676096556494],[164.08977924752816],[165.11676096556494],['DEMA cross_above None'],['DEMA cross_below None'],164.08977924752816,164.08977924752816
2023-04-27,166.7285919189453,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[163.57639897487812],[164.87439540826858],[163.57639897487812],[164.87439540826858],['DEMA cross_above None'],['DEMA cross_below None'],163.57639897487812,163.57639897487812
2023-04-28,167.9859161376953,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[164.70659962590003],[165.48617728060088],[164.70659962590003],[165.48617728060088],['DEMA cross_above None'],['DEMA cross_below None'],164.70659962590003,164.70659962590003
2023-05-01,167.8968048095703,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[165.94566731726331],[166.22633340750644],[165.94566731726331],[166.22633340750644],['DEMA cross_above None'],['DEMA cross_below None'],165.94566731726331,165.94566731726331
2023-05-02,166.85728454589844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[166.8131138061654],[166.83201546302496],[166.8131138061654],[166.83201546302496],['DEMA cross_above None'],['DEMA cross_below None'],166.8131138061654,166.8131138061654
2023-05-03,165.77818298339844,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[167.08598255879193],[167.14890607149349],[167.08598255879193],[167.14890607149349],['DEMA cross_above None'],['DEMA cross_below None'],167.08598255879193,167.08598255879193
2023-05-04,164.13475036621094,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[166.9043587109504],[167.2099103766063],[166.9043587109504],[167.2099103766063],['DEMA cross_above None'],['DEMA cross_below None'],166.9043587109504,166.9043587109504
2023-05-05,171.83706665039062,0,[False],[False],NO_TRADE,Entry conditions not met: False,{},{},[166.20226334505895],[166.9487335856718],[166.20226334505895],[166.9487335856718],['DEMA cross_above None'],['DEMA cross_below None'],166.20226334505895,166.20226334505895
2023-05-08,171.76776123046875,0,[True],[False],BUY. Shares: 31,Entry conditions met: True,{},"{'order_size': 31, 'order_price': None, 'order_valid': None, 'order_status': 1}",[168.21013834352658],[168.10665773154292],[168.21013834352658],[168.10665773154292],['DEMA cross_above None'],['DEMA cross_below None'],168.21013834352658,168.21013834352658
2023-05-09,170.05502319335938,31,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[169.65124058572871],[169.07579110737313],[169.65124058572871],[169.07579110737313],['DEMA cross_above None'],['DEMA cross_below None'],169.65124058572871,169.65124058572871
2023-05-10,171.82716369628906,31,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[170.11971862467882],[169.58283415997707],[170.11971862467882],[169.58283415997707],['DEMA cross_above None'],['DEMA cross_below None'],170.11971862467882,170.11971862467882
2023-05-11,172.01527404785156,31,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[171.01702076969426],[170.32365624242138],[171.01702076969426],[170.32365624242138],['DEMA cross_above None'],['DEMA cross_below None'],171.01702076969426,171.01702076969426
2023-05-12,171.08335876464844,31,[False],[False],HOLD,Holding position; exit conditions: False,{},{},[171.70666093097628],[170.97785041408324],[171.70666093097628],[170.97785041408324],['DEMA cross_above None'],['DEMA cross_below None'],171.70666093097628,171.70666093097628
